Class,Biological Process,Gene
Cell Function,DNA Damage Repair,RBX1 
Cell Function,DNA Damage Repair,RFC3 
Cell Function,DNA Damage Repair,RFC4 
Cell Function,DNA Damage Repair,RPA3 
Cell Function,DNA Damage Repair,RPS27A 
Cell Function,DNA Damage Repair,SMC1A 
Cell Function,DNA Damage Repair,SOD1 
Cell Function,DNA Damage Repair,TP53 
Cell Function,DNA Damage Repair,TP73 
Cell Function,DNA Damage Repair,UBA7 
Cell Function,DNA Damage Repair,UBB 
Cell Function,DNA Damage Repair,UBC 
Cell Function,DNA Damage Repair,UBE2T 
Cell Function,DNA Damage Repair,WRN 
Cell Function,DNA Damage Repair,XPA 
Cell Function,DNA Damage Repair,XRCC4
Cell Function,EMT,AKT1 
Cell Function,EMT,AR 
Cell Function,EMT,AURKA 
Cell Function,EMT,BMI1 
Cell Function,EMT,BMP2 
Cell Function,EMT,BMP4 
Cell Function,EMT,BMP7 
Cell Function,EMT,CCL18 
Cell Function,EMT,CCL2 
Cell Function,EMT,CCL20 
Cell Function,EMT,CCL21 
Cell Function,EMT,CCL5 
Cell Function,EMT,CCR7 
Cell Function,EMT,CD274 
Cell Function,EMT,CD44 
Cell Function,EMT,CDH1 
Cell Function,EMT,CDH2 
Cell Function,EMT,CTNNB1 
Cell Function,EMT,CXCL12 
Cell Function,EMT,CXCL8 
Cell Function,EMT,CXCR4 
Cell Function,EMT,DNMT1 
Cell Function,EMT,EGF 
Cell Function,EMT,EGFR 
Cell Function,EMT,EGR1 
Cell Function,EMT,EPCAM 
Cell Function,EMT,ERBB2 
Cell Function,EMT,ESR1 
Cell Function,EMT,EZH2 
Cell Function,EMT,FGFR1 
Cell Function,EMT,FN1 
Cell Function,EMT,FOXA1 
Cell Function,EMT,FOXM1 
Cell Function,EMT,GLI1 
Cell Function,EMT,GSK3B 
Cell Function,EMT,HDAC1 
Cell Function,EMT,HGF 
Cell Function,EMT,HIF1A 
Cell Function,EMT,HMGA2 
Cell Function,EMT,HMGB1 
Cell Function,EMT,ID1 
Cell Function,EMT,IGF1 
Cell Function,EMT,IGF1R 
Cell Function,EMT,IL17A 
Cell Function,EMT,IL1B 
Cell Function,EMT,IL6 
Cell Function,EMT,ITGB1 
Cell Function,EMT,JAK2 
Cell Function,EMT,JUN 
Cell Function,EMT,KLF4 
Cell Function,EMT,KRAS 
Cell Function,EMT,L1CAM 
Cell Function,EMT,LCN2 
Cell Function,EMT,LEF1 
Cell Function,EMT,LOXL2 
Cell Function,EMT,MAPK1 
Cell Function,EMT,MAPK3 
Cell Function,EMT,MCAM 
Cell Function,EMT,MET 
Cell Function,EMT,MMP9 
Cell Function,EMT,MTOR 
Cell Function,EMT,MUC1 
Cell Function,EMT,MYC 
Cell Function,EMT,NANOG 
Cell Function,EMT,NFKB1 
Cell Function,EMT,NOTCH1 
Cell Function,EMT,NTRK2 
Cell Function,EMT,PIK3CA 
Cell Function,EMT,POU5F1 
Cell Function,EMT,PPARG 
Cell Function,EMT,PROM1 
Cell Function,EMT,PTEN 
Cell Function,EMT,PTGS2 
Cell Function,EMT,RAC1 
Cell Function,EMT,RELA 
Cell Function,EMT,RHOA 
Cell Function,EMT,ROCK1 
Cell Function,EMT,SMAD2 
Cell Function,EMT,SMAD3 
Cell Function,EMT,SMAD4 
Cell Function,EMT,SNAI1 
Cell Function,EMT,SNAI2 
Cell Function,EMT,SOX2 
Cell Function,EMT,SP1 
Cell Function,EMT,STAT3 
Cell Function,EMT,STK11 
Cell Function,EMT,TCF3 
Cell Function,EMT,TGFB1 
Cell Function,EMT,TGFB2 
Cell Function,EMT,TLR4 
Cell Function,EMT,TNF 
Cell Function,EMT,TP53 
Cell Function,EMT,TWIST1 
Cell Function,EMT,TWIST2 
Cell Function,EMT,VEGFA 
Cell Function,EMT,WNT5A 
Cell Function,EMT,ZEB1 
Cell Function,EMT,ZEB2
Cell Function,Endocytosis,ACTB 
Cell Function,Endocytosis,APOB 
Cell Function,Endocytosis,AREG 
Cell Function,Endocytosis,CBL 
Cell Function,Endocytosis,CBLC 
Cell Function,Endocytosis,CCR5 
Cell Function,Endocytosis,CD3D 
Cell Function,Endocytosis,CD3G 
Cell Function,Endocytosis,CD4 
Cell Function,Endocytosis,CXCR1 
Cell Function,Endocytosis,CXCR2 
Cell Function,Endocytosis,CXCR4 
Cell Function,Endocytosis,DAB2 
Cell Function,Endocytosis,EGF 
Cell Function,Endocytosis,EGFR 
Cell Function,Endocytosis,FGFR2 
Cell Function,Endocytosis,FGFR3 
Cell Function,Endocytosis,FGFR4 
Cell Function,Endocytosis,FZD4 
Cell Function,Endocytosis,HLA-A 
Cell Function,Endocytosis,HLA-B 
Cell Function,Endocytosis,HLA-C 
Cell Function,Endocytosis,HLA-E 
Cell Function,Endocytosis,HLA-F 
Cell Function,Endocytosis,HLA-G 
Cell Function,Endocytosis,HRAS 
Cell Function,Endocytosis,HSPA1A 
Cell Function,Endocytosis,HSPA2 
Cell Function,Endocytosis,HSPA6 
Cell Function,Endocytosis,IGF1R 
Cell Function,Endocytosis,IGF2R 
Cell Function,Endocytosis,IL2RA 
Cell Function,Endocytosis,IL2RB 
Cell Function,Endocytosis,IL2RG 
Cell Function,Endocytosis,IL7R 
Cell Function,Endocytosis,ITCH 
Cell Function,Endocytosis,LRP2 
Cell Function,Endocytosis,MDM2 
Cell Function,Endocytosis,PDGFRA 
Cell Function,Endocytosis,PLD1 
Cell Function,Endocytosis,PML 
Cell Function,Endocytosis,RAB7A 
Cell Function,Endocytosis,REPS1 
Cell Function,Endocytosis,RHOA 
Cell Function,Endocytosis,RPS27A 
Cell Function,Endocytosis,SMAD2 
Cell Function,Endocytosis,SMAD3 
Cell Function,Endocytosis,SMAP1 
Cell Function,Endocytosis,SYT17 
Cell Function,Endocytosis,TFRC 
Cell Function,Endocytosis,TGFBR1 
Cell Function,Endocytosis,TGFBR2 
Cell Function,Endocytosis,TRAF6 
Cell Function,Endocytosis,UBB 
Cell Function,Endocytosis,UBC 
Cell Function,Endocytosis,WIPF1 
Cell Function,Endocytosis,WNT5A
Cell Function,Epigenetic Modification,ACTB 
Cell Function,Epigenetic Modification,ARID1A 
Cell Function,Epigenetic Modification,ARID1B 
Cell Function,Epigenetic Modification,ARID2 
Cell Function,Epigenetic Modification,ARNT2 
Cell Function,Epigenetic Modification,ASXL1 
Cell Function,Epigenetic Modification,ATF1 
Cell Function,Epigenetic Modification,ATF2 
Cell Function,Epigenetic Modification,ATF3 
Cell Function,Epigenetic Modification,ATM 
Cell Function,Epigenetic Modification,BAIAP3 
Cell Function,Epigenetic Modification,BAX 
Cell Function,Epigenetic Modification,BCL2A1 
Cell Function,Epigenetic Modification,BCL2L1 
Cell Function,Epigenetic Modification,BCL6 
Cell Function,Epigenetic Modification,BIRC3 
Cell Function,Epigenetic Modification,BMI1 
Cell Function,Epigenetic Modification,BRD2 
Cell Function,Epigenetic Modification,BRD3 
Cell Function,Epigenetic Modification,BRD4 
Cell Function,Epigenetic Modification,BRD7 
Cell Function,Epigenetic Modification,CCNA1 
Cell Function,Epigenetic Modification,CCNA2 
Cell Function,Epigenetic Modification,CCND1 
Cell Function,Epigenetic Modification,CCND2 
Cell Function,Epigenetic Modification,CD14 
Cell Function,Epigenetic Modification,CD40 
Cell Function,Epigenetic Modification,CD86 
Cell Function,Epigenetic Modification,CDK4 
Cell Function,Epigenetic Modification,CDKN1A 
Cell Function,Epigenetic Modification,CDKN1B 
Cell Function,Epigenetic Modification,CDKN2C 
Cell Function,Epigenetic Modification,CEBPA 
Cell Function,Epigenetic Modification,CEBPB 
Cell Function,Epigenetic Modification,CEBPE 
Cell Function,Epigenetic Modification,CREBBP 
Cell Function,Epigenetic Modification,CSF1R 
Cell Function,Epigenetic Modification,CSF2 
Cell Function,Epigenetic Modification,CXCL8 
Cell Function,Epigenetic Modification,DDB2 
Cell Function,Epigenetic Modification,DDIT3 
Cell Function,Epigenetic Modification,DNMT3A 
Cell Function,Epigenetic Modification,DUSP6 
Cell Function,Epigenetic Modification,EGR2 
Cell Function,Epigenetic Modification,ELANE 
Cell Function,Epigenetic Modification,EP300 
Cell Function,Epigenetic Modification,EPM2AIP1 
Cell Function,Epigenetic Modification,ERG 
Cell Function,Epigenetic Modification,ETV1 
Cell Function,Epigenetic Modification,ETV4 
Cell Function,Epigenetic Modification,ETV7 
Cell Function,Epigenetic Modification,EWSR1 
Cell Function,Epigenetic Modification,EYA1 
Cell Function,Epigenetic Modification,EZH2 
Cell Function,Epigenetic Modification,FAM124B 
Cell Function,Epigenetic Modification,FCGR1A 
Cell Function,Epigenetic Modification,FLT1 
Cell Function,Epigenetic Modification,FLT3 
Cell Function,Epigenetic Modification,FUT8 
Cell Function,Epigenetic Modification,GADD45A 
Cell Function,Epigenetic Modification,GADD45B 
Cell Function,Epigenetic Modification,GADD45G 
Cell Function,Epigenetic Modification,GATA1 
Cell Function,Epigenetic Modification,GATA2 
Cell Function,Epigenetic Modification,GRIA3 
Cell Function,Epigenetic Modification,GZMB 
Cell Function,Epigenetic Modification,H2AX 
Cell Function,Epigenetic Modification,H3-3A 
Cell Function,Epigenetic Modification,H3-5 
Cell Function,Epigenetic Modification,H3C10 
Cell Function,Epigenetic Modification,H3C2 
Cell Function,Epigenetic Modification,H3C8 
Cell Function,Epigenetic Modification,HDAC1 
Cell Function,Epigenetic Modification,HDAC10 
Cell Function,Epigenetic Modification,HDAC2 
Cell Function,Epigenetic Modification,HDAC3 
Cell Function,Epigenetic Modification,HELLS 
Cell Function,Epigenetic Modification,HHEX 
Cell Function,Epigenetic Modification,HMGA2 
Cell Function,Epigenetic Modification,HOXA10 
Cell Function,Epigenetic Modification,HOXA11 
Cell Function,Epigenetic Modification,HOXA9 
Cell Function,Epigenetic Modification,HPGD 
Cell Function,Epigenetic Modification,ID2 
Cell Function,Epigenetic Modification,IGF1 
Cell Function,Epigenetic Modification,IGF1R 
Cell Function,Epigenetic Modification,IGFBP3 
Cell Function,Epigenetic Modification,IL1R2 
Cell Function,Epigenetic Modification,IL2RB 
Cell Function,Epigenetic Modification,IL3 
Cell Function,Epigenetic Modification,IL6 
Cell Function,Epigenetic Modification,ITGAM 
Cell Function,Epigenetic Modification,ITGB7 
Cell Function,Epigenetic Modification,JADE1 
Cell Function,Epigenetic Modification,JAK2 
Cell Function,Epigenetic Modification,JUP 
Cell Function,Epigenetic Modification,KAT2B 
Cell Function,Epigenetic Modification,KDM5C 
Cell Function,Epigenetic Modification,KDM6A 
Cell Function,Epigenetic Modification,KMT2C 
Cell Function,Epigenetic Modification,KMT2D 
Cell Function,Epigenetic Modification,LCOR 
Cell Function,Epigenetic Modification,MAF 
Cell Function,Epigenetic Modification,MDM2 
Cell Function,Epigenetic Modification,MECOM 
Cell Function,Epigenetic Modification,MEF2C 
Cell Function,Epigenetic Modification,MEN1 
Cell Function,Epigenetic Modification,MET 
Cell Function,Epigenetic Modification,MLF1 
Cell Function,Epigenetic Modification,MLLT3 
Cell Function,Epigenetic Modification,MMP3 
Cell Function,Epigenetic Modification,MMP9 
Cell Function,Epigenetic Modification,MPO 
Cell Function,Epigenetic Modification,MYC 
Cell Function,Epigenetic Modification,MYCN 
Cell Function,Epigenetic Modification,NCOR1 
Cell Function,Epigenetic Modification,NFKB1 
Cell Function,Epigenetic Modification,NFKB2 
Cell Function,Epigenetic Modification,NFKBIZ 
Cell Function,Epigenetic Modification,NGFR 
Cell Function,Epigenetic Modification,NR4A3 
Cell Function,Epigenetic Modification,NSD1 
Cell Function,Epigenetic Modification,NSD2 
Cell Function,Epigenetic Modification,NSD3 
Cell Function,Epigenetic Modification,NTRK1 
Cell Function,Epigenetic Modification,NUPR1 
Cell Function,Epigenetic Modification,PAX3 
Cell Function,Epigenetic Modification,PAX5 
Cell Function,Epigenetic Modification,PAX8 
Cell Function,Epigenetic Modification,PBRM1 
Cell Function,Epigenetic Modification,PBX1 
Cell Function,Epigenetic Modification,PBX3 
Cell Function,Epigenetic Modification,PDGFA 
Cell Function,Epigenetic Modification,PLAT 
Cell Function,Epigenetic Modification,PLAU 
Cell Function,Epigenetic Modification,PML 
Cell Function,Epigenetic Modification,PPARG 
Cell Function,Epigenetic Modification,PROM1 
Cell Function,Epigenetic Modification,PTCRA 
Cell Function,Epigenetic Modification,REL 
Cell Function,Epigenetic Modification,RELA 
Cell Function,Epigenetic Modification,RUNX1 
Cell Function,Epigenetic Modification,RUNX1T1 
Cell Function,Epigenetic Modification,RXRG 
Cell Function,Epigenetic Modification,SETD2 
Cell Function,Epigenetic Modification,SIN3A 
Cell Function,Epigenetic Modification,SIX1 
Cell Function,Epigenetic Modification,SMARCA4 
Cell Function,Epigenetic Modification,SMARCB1 
Cell Function,Epigenetic Modification,SP1 
Cell Function,Epigenetic Modification,SSX1 
Cell Function,Epigenetic Modification,SUV39H2 
Cell Function,Epigenetic Modification,TBL1XR1 
Cell Function,Epigenetic Modification,TCF3 
Cell Function,Epigenetic Modification,TFE3 
Cell Function,Epigenetic Modification,TGFBR2 
Cell Function,Epigenetic Modification,TLX1 
Cell Function,Epigenetic Modification,TMPRSS2 
Cell Function,Epigenetic Modification,TP53 
Cell Function,Epigenetic Modification,TRAF1 
Cell Function,Epigenetic Modification,TSPAN7 
Cell Function,Epigenetic Modification,UTY 
Cell Function,Epigenetic Modification,WNT16 
Cell Function,Epigenetic Modification,WT1 
Cell Function,Epigenetic Modification,ZBTB16 
Cell Function,Epigenetic Modification,ZEB1
Cell Function,Immortality & Stemness,BLM 
Cell Function,Immortality & Stemness,BMI1 
Cell Function,Immortality & Stemness,CD34 
Cell Function,Immortality & Stemness,CD44 
Cell Function,Immortality & Stemness,CTNNB1 
Cell Function,Immortality & Stemness,EZH2 
Cell Function,Immortality & Stemness,FEN1 
Cell Function,Immortality & Stemness,FGF2 
Cell Function,Immortality & Stemness,H2AX 
Cell Function,Immortality & Stemness,HIF1A 
Cell Function,Immortality & Stemness,KLF4 
Cell Function,Immortality & Stemness,LGR5 
Cell Function,Immortality & Stemness,MYC 
Cell Function,Immortality & Stemness,NANOG 
Cell Function,Immortality & Stemness,PBX1 
Cell Function,Immortality & Stemness,PCNA 
Cell Function,Immortality & Stemness,POLD1 
Cell Function,Immortality & Stemness,POLD4 
Cell Function,Immortality & Stemness,POU2AF1 
Cell Function,Immortality & Stemness,POU2F2 
Cell Function,Immortality & Stemness,POU5F1 
Cell Function,Immortality & Stemness,PROM1 
Cell Function,Immortality & Stemness,RFC3 
Cell Function,Immortality & Stemness,RFC4 
Cell Function,Immortality & Stemness,RPA3 
Cell Function,Immortality & Stemness,SMAD2 
Cell Function,Immortality & Stemness,SMAD4 
Cell Function,Immortality & Stemness,SOX2 
Cell Function,Immortality & Stemness,STAT3 
Cell Function,Immortality & Stemness,TERT 
Cell Function,Immortality & Stemness,TLX1 
Cell Function,Immortality & Stemness,TWIST1 
Cell Function,Immortality & Stemness,WRN
Cell Function,Ion Transport,ADA 
Cell Function,Ion Transport,APOA1 
Cell Function,Ion Transport,ATOX1 
Cell Function,Ion Transport,ATP11C 
Cell Function,Ion Transport,ATP2A2 
Cell Function,Ion Transport,ATP5F1D 
Cell Function,Ion Transport,BCL2 
Cell Function,Ion Transport,CACNA1C 
Cell Function,Ion Transport,CACNA1D 
Cell Function,Ion Transport,CACNA1E 
Cell Function,Ion Transport,CACNA1G 
Cell Function,Ion Transport,CACNA1H 
Cell Function,Ion Transport,CACNB2 
Cell Function,Ion Transport,CACNB4 
Cell Function,Ion Transport,CACNG4 
Cell Function,Ion Transport,CD4 
Cell Function,Ion Transport,CDK2 
Cell Function,Ion Transport,COX6A1 
Cell Function,Ion Transport,GRIA3 
Cell Function,Ion Transport,GRIN1 
Cell Function,Ion Transport,HSPA2 
Cell Function,Ion Transport,MS4A1 
Cell Function,Ion Transport,MYC 
Cell Function,Ion Transport,NFKBIE 
Cell Function,Ion Transport,NTRK2 
Cell Function,Ion Transport,PIK3CG 
Cell Function,Ion Transport,PLA2G2A 
Cell Function,Ion Transport,PPARGC1A 
Cell Function,Ion Transport,PPP3CA 
Cell Function,Ion Transport,PSEN1 
Cell Function,Ion Transport,RHOA 
Cell Function,Ion Transport,RRAD 
Cell Function,Ion Transport,SLC11A1 
Cell Function,Ion Transport,SLC16A1 
Cell Function,Ion Transport,SYK 
Cell Function,Ion Transport,TGFB1 
Cell Function,Ion Transport,TMEM163
Cell Function,Lysosome,CD164 
Cell Function,Lysosome,CD63 
Cell Function,Lysosome,CD68 
Cell Function,Lysosome,CTSG 
Cell Function,Lysosome,CTSH 
Cell Function,Lysosome,CTSL 
Cell Function,Lysosome,CTSS 
Cell Function,Lysosome,CTSW 
Cell Function,Lysosome,GUSB 
Cell Function,Lysosome,IGF2R 
Cell Function,Lysosome,LAMP1 
Cell Function,Lysosome,LAMP2 
Cell Function,Lysosome,LAMP3 
Cell Function,Lysosome,SLC11A1
Cell Function,Oxidative Stress,ABL1 
Cell Function,Oxidative Stress,ADA 
Cell Function,Oxidative Stress,AKT1 
Cell Function,Oxidative Stress,ANXA1 
Cell Function,Oxidative Stress,APOA4 
Cell Function,Oxidative Stress,APOE 
Cell Function,Oxidative Stress,APP 
Cell Function,Oxidative Stress,AREG 
Cell Function,Oxidative Stress,ARG1 
Cell Function,Oxidative Stress,ARNT 
Cell Function,Oxidative Stress,ATG7 
Cell Function,Oxidative Stress,ATOX1 
Cell Function,Oxidative Stress,ATP2A2 
Cell Function,Oxidative Stress,AXL 
Cell Function,Oxidative Stress,BAD 
Cell Function,Oxidative Stress,BCL2 
Cell Function,Oxidative Stress,BMP7 
Cell Function,Oxidative Stress,BNIP3 
Cell Function,Oxidative Stress,BTK 
Cell Function,Oxidative Stress,CAPN2 
Cell Function,Oxidative Stress,CASP3 
Cell Function,Oxidative Stress,CCL19 
Cell Function,Oxidative Stress,CCNA2 
Cell Function,Oxidative Stress,CCR7 
Cell Function,Oxidative Stress,CD36 
Cell Function,Oxidative Stress,CD38 
Cell Function,Oxidative Stress,CDK1 
Cell Function,Oxidative Stress,CDK2 
Cell Function,Oxidative Stress,CHUK 
Cell Function,Oxidative Stress,COL1A1 
Cell Function,Oxidative Stress,CTNNB1 
Cell Function,Oxidative Stress,CYBB 
Cell Function,Oxidative Stress,DUOX1 
Cell Function,Oxidative Stress,DUSP1 
Cell Function,Oxidative Stress,EDN1 
Cell Function,Oxidative Stress,EGFR 
Cell Function,Oxidative Stress,ENDOG 
Cell Function,Oxidative Stress,ERCC2 
Cell Function,Oxidative Stress,ERCC3 
Cell Function,Oxidative Stress,ERCC6 
Cell Function,Oxidative Stress,ERO1A 
Cell Function,Oxidative Stress,ETS1 
Cell Function,Oxidative Stress,EZH2 
Cell Function,Oxidative Stress,FANCC 
Cell Function,Oxidative Stress,FBXW7 
Cell Function,Oxidative Stress,FCAR 
Cell Function,Oxidative Stress,FGF8 
Cell Function,Oxidative Stress,FOS 
Cell Function,Oxidative Stress,FOSL1 
Cell Function,Oxidative Stress,FUT8 
Cell Function,Oxidative Stress,FYN 
Cell Function,Oxidative Stress,FZD1 
Cell Function,Oxidative Stress,G6PD 
Cell Function,Oxidative Stress,GPX1 
Cell Function,Oxidative Stress,GPX4 
Cell Function,Oxidative Stress,HDAC2 
Cell Function,Oxidative Stress,HDAC6 
Cell Function,Oxidative Stress,HGF 
Cell Function,Oxidative Stress,HIF1A 
Cell Function,Oxidative Stress,HNF1A 
Cell Function,Oxidative Stress,HSPA1A 
Cell Function,Oxidative Stress,HSPB1 
Cell Function,Oxidative Stress,IDH1 
Cell Function,Oxidative Stress,IL10 
Cell Function,Oxidative Stress,IL18RAP 
Cell Function,Oxidative Stress,IL6 
Cell Function,Oxidative Stress,JAK2 
Cell Function,Oxidative Stress,JUN 
Cell Function,Oxidative Stress,KEAP1 
Cell Function,Oxidative Stress,KLF4 
Cell Function,Oxidative Stress,KRT1 
Cell Function,Oxidative Stress,LCN2 
Cell Function,Oxidative Stress,LDHA 
Cell Function,Oxidative Stress,MAP3K5 
Cell Function,Oxidative Stress,MAPK1 
Cell Function,Oxidative Stress,MAPK3 
Cell Function,Oxidative Stress,MAPK8 
Cell Function,Oxidative Stress,MAPK9 
Cell Function,Oxidative Stress,MAPT 
Cell Function,Oxidative Stress,MBL2 
Cell Function,Oxidative Stress,MCL1 
Cell Function,Oxidative Stress,MDM2 
Cell Function,Oxidative Stress,MELK 
Cell Function,Oxidative Stress,MET 
Cell Function,Oxidative Stress,MGMT 
Cell Function,Oxidative Stress,MICB 
Cell Function,Oxidative Stress,MMP3 
Cell Function,Oxidative Stress,MMP9 
Cell Function,Oxidative Stress,MPO 
Cell Function,Oxidative Stress,MSRB2 
Cell Function,Oxidative Stress,MTF1 
Cell Function,Oxidative Stress,MYB 
Cell Function,Oxidative Stress,NCF4 
Cell Function,Oxidative Stress,NDUFA12 
Cell Function,Oxidative Stress,NDUFA6 
Cell Function,Oxidative Stress,NDUFB4 
Cell Function,Oxidative Stress,NDUFS8 
Cell Function,Oxidative Stress,NEIL1 
Cell Function,Oxidative Stress,NFE2L2 
Cell Function,Oxidative Stress,NOS3 
Cell Function,Oxidative Stress,NOX1 
Cell Function,Oxidative Stress,NR4A3 
Cell Function,Oxidative Stress,PCNA 
Cell Function,Oxidative Stress,PDGFD 
Cell Function,Oxidative Stress,PDGFRA 
Cell Function,Oxidative Stress,PDGFRB 
Cell Function,Oxidative Stress,PDK1 
Cell Function,Oxidative Stress,PML 
Cell Function,Oxidative Stress,PPARGC1A 
Cell Function,Oxidative Stress,PPARGC1B 
Cell Function,Oxidative Stress,PPP2CB 
Cell Function,Oxidative Stress,PRDX5 
Cell Function,Oxidative Stress,PRKAA2 
Cell Function,Oxidative Stress,PRKCD 
Cell Function,Oxidative Stress,PSEN1 
Cell Function,Oxidative Stress,PSMB5 
Cell Function,Oxidative Stress,PTGS2 
Cell Function,Oxidative Stress,PYCR1 
Cell Function,Oxidative Stress,PYCR2 
Cell Function,Oxidative Stress,RAD52 
Cell Function,Oxidative Stress,RELA 
Cell Function,Oxidative Stress,RHOB 
Cell Function,Oxidative Stress,RIPK1 
Cell Function,Oxidative Stress,RIPK3 
Cell Function,Oxidative Stress,S100A7 
Cell Function,Oxidative Stress,SELENOK 
Cell Function,Oxidative Stress,SGK2 
Cell Function,Oxidative Stress,SIN3A 
Cell Function,Oxidative Stress,SIRPA 
Cell Function,Oxidative Stress,SMPD3 
Cell Function,Oxidative Stress,SNCA 
Cell Function,Oxidative Stress,SOD1 
Cell Function,Oxidative Stress,SOD2 
Cell Function,Oxidative Stress,SP1 
Cell Function,Oxidative Stress,STAT1 
Cell Function,Oxidative Stress,STAT6 
Cell Function,Oxidative Stress,TLR4 
Cell Function,Oxidative Stress,TLR6 
Cell Function,Oxidative Stress,TNF 
Cell Function,Oxidative Stress,TNFAIP3 
Cell Function,Oxidative Stress,TP53 
Cell Function,Oxidative Stress,TPM1 
Cell Function,Oxidative Stress,TPO 
Cell Function,Oxidative Stress,TRAF2 
Cell Function,Oxidative Stress,TSC1 
Cell Function,Oxidative Stress,TXN2 
Cell Function,Oxidative Stress,TXNIP 
Cell Function,Oxidative Stress,WNT16 
Cell Function,Oxidative Stress,WRN 
Cell Function,Oxidative Stress,XPA 
Cell Function,Oxidative Stress,ZC3H12A
Cell Function,Phagocytosis,ABL1 
Cell Function,Phagocytosis,ACTB 
Cell Function,Phagocytosis,AKT1 
Cell Function,Phagocytosis,AKT2 
Cell Function,Phagocytosis,AKT3 
Cell Function,Phagocytosis,BTK 
Cell Function,Phagocytosis,C1R 
Cell Function,Phagocytosis,C3 
Cell Function,Phagocytosis,CD14 
Cell Function,Phagocytosis,CD209 
Cell Function,Phagocytosis,CD36 
Cell Function,Phagocytosis,CD3G 
Cell Function,Phagocytosis,CLEC7A 
Cell Function,Phagocytosis,COLEC12 
Cell Function,Phagocytosis,COMP 
Cell Function,Phagocytosis,CTSL 
Cell Function,Phagocytosis,CTSS 
Cell Function,Phagocytosis,CYBB 
Cell Function,Phagocytosis,CYFIP2 
Cell Function,Phagocytosis,ELMO1 
Cell Function,Phagocytosis,FCAR 
Cell Function,Phagocytosis,FCGR1A 
Cell Function,Phagocytosis,FCGR3A/B 
Cell Function,Phagocytosis,FGCR2A/B 
Cell Function,Phagocytosis,FYN 
Cell Function,Phagocytosis,HCK 
Cell Function,Phagocytosis,HLA-A 
Cell Function,Phagocytosis,HLA-B 
Cell Function,Phagocytosis,HLA-C 
Cell Function,Phagocytosis,HLA-DMA 
Cell Function,Phagocytosis,HLA-DMB 
Cell Function,Phagocytosis,HLA-DOA 
Cell Function,Phagocytosis,HLA-DOB 
Cell Function,Phagocytosis,HLA-DPA1 
Cell Function,Phagocytosis,HLA-DPB1 
Cell Function,Phagocytosis,HLA-DQA1 
Cell Function,Phagocytosis,HLA-DQA2 
Cell Function,Phagocytosis,HLA-DQB1 
Cell Function,Phagocytosis,HLA-DRA 
Cell Function,Phagocytosis,HLA-DRB 
Cell Function,Phagocytosis,HLA-DRB3 
Cell Function,Phagocytosis,HLA-DRB4 
Cell Function,Phagocytosis,HLA-DRB5 
Cell Function,Phagocytosis,HLA-E 
Cell Function,Phagocytosis,HLA-F 
Cell Function,Phagocytosis,HLA-G 
Cell Function,Phagocytosis,INPP5D 
Cell Function,Phagocytosis,ITGA2 
Cell Function,Phagocytosis,ITGA5 
Cell Function,Phagocytosis,ITGAM 
Cell Function,Phagocytosis,ITGAV 
Cell Function,Phagocytosis,ITGB1 
Cell Function,Phagocytosis,ITGB2 
Cell Function,Phagocytosis,ITGB3 
Cell Function,Phagocytosis,LAMP1 
Cell Function,Phagocytosis,LAMP2 
Cell Function,Phagocytosis,LAT 
Cell Function,Phagocytosis,LYN 
Cell Function,Phagocytosis,MAP2K1 
Cell Function,Phagocytosis,MAPK1 
Cell Function,Phagocytosis,MAPK3 
Cell Function,Phagocytosis,MARCO 
Cell Function,Phagocytosis,MBL2 
Cell Function,Phagocytosis,MPO 
Cell Function,Phagocytosis,MRC1 
Cell Function,Phagocytosis,MSR1 
Cell Function,Phagocytosis,NCF4 
Cell Function,Phagocytosis,NF2 
Cell Function,Phagocytosis,NOS1 
Cell Function,Phagocytosis,OLR1 
Cell Function,Phagocytosis,PIK3CA 
Cell Function,Phagocytosis,PIK3CB 
Cell Function,Phagocytosis,PIK3CD 
Cell Function,Phagocytosis,PIK3R1 
Cell Function,Phagocytosis,PIK3R2 
Cell Function,Phagocytosis,PIK3R3 
Cell Function,Phagocytosis,PLA2G4A 
Cell Function,Phagocytosis,PLA2G4C 
Cell Function,Phagocytosis,PLA2G4E 
Cell Function,Phagocytosis,PLA2G4F 
Cell Function,Phagocytosis,PLA2G6 
Cell Function,Phagocytosis,PLCG2 
Cell Function,Phagocytosis,PLD1 
Cell Function,Phagocytosis,PRKCA 
Cell Function,Phagocytosis,PRKCB 
Cell Function,Phagocytosis,PRKCD 
Cell Function,Phagocytosis,PRKCE 
Cell Function,Phagocytosis,PRKCG 
Cell Function,Phagocytosis,PTPRC 
Cell Function,Phagocytosis,RAB7A 
Cell Function,Phagocytosis,RAC1 
Cell Function,Phagocytosis,RAC2 
Cell Function,Phagocytosis,RAF1 
Cell Function,Phagocytosis,RPS6KB1 
Cell Function,Phagocytosis,SYK 
Cell Function,Phagocytosis,TAP1 
Cell Function,Phagocytosis,TAP2 
Cell Function,Phagocytosis,TFRC 
Cell Function,Phagocytosis,THBS1 
Cell Function,Phagocytosis,THBS4 
Cell Function,Phagocytosis,TLR2 
Cell Function,Phagocytosis,TLR4 
Cell Function,Phagocytosis,TLR6 
Cell Function,Phagocytosis,TUBB 
Cell Function,Phagocytosis,WIPF1
Cell Function,Proteotoxic Stress,BAG1 
Cell Function,Proteotoxic Stress,BAX 
